name,city,state,type,stream,fees,cutoff,rank,exam,rating,placement_rate,avg_package,top_recruiters,facilities
Christian Eminent College,Indore,Madhya Pradesh,Private,Commerce,40000,65,150,Merit,4.1,76%,Rs 5 LPA,"Deloitte, KPMG, EY, PwC, HDFC Bank, ICICI Bank","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Renaissance University,Indore,Madhya Pradesh,Private University,Commerce,120000,75,190,Merit,4.2,65%,Rs 2 LPA,"Local Banks, Startups, Sales Firms, Muthoot Finance","Wi-Fi Campus, Library, Cafeteria, AC Hostels, Olympic Sports Complex, Research Labs, Gym, Auditorium"
Govt. Arts and Commerce College (GACC),Indore,Madhya Pradesh,Government,Commerce,12000,65,180,Merit,4.1,65%,Rs 3 LPA,"Local Banks, Startups, Sales Firms, Muthoot Finance","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
ILVA Commerce & Science College,Indore,Madhya Pradesh,Private,Commerce,45000,65,220,Merit,4.0,71%,Rs 4 LPA,"Local Banks, Startups, Sales Firms, Muthoot Finance","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Arihant College,Indore,Madhya Pradesh,Private,Commerce,50000,60,240,Merit,3.8,60%,Rs 4 LPA,"Local Banks, Startups, Sales Firms, Muthoot Finance","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Pioneer Institute of Professional Studies,Indore,Madhya Pradesh,Private,Commerce,70000,65,210,Merit,4.0,55%,Rs 3 LPA,"Local Banks, Startups, Sales Firms, Muthoot Finance","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
"School of Commerce, DAVV",Indore,Madhya Pradesh,Government University,Commerce,35000,80,95,CUET,4.4,81%,Rs 6 LPA,"Deloitte, KPMG, EY, PwC, HDFC Bank, ICICI Bank","Wi-Fi Campus, Library, Cafeteria, AC Hostels, Olympic Sports Complex, Research Labs, Gym, Auditorium"
Prestige Institute of Commerce,Indore,Madhya Pradesh,Private,Commerce,110000,78,110,Merit,4.3,86%,Rs 7 LPA,"Deloitte, KPMG, EY, PwC, HDFC Bank, ICICI Bank","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
IIM Indore,Indore,Madhya Pradesh,Government / IIT / NIT,Management,500000,95,8,IPMAT,4.9,90%,Rs 18 LPA,"McKinsey, BCG, Bain, JP Morgan, Morgan Stanley, Deloitte","Wi-Fi Campus, Library, Cafeteria, AC Hostels, Olympic Sports Complex, Research Labs, Gym, Auditorium"
Prestige Institute of Management and Research (PIMR),Indore,Madhya Pradesh,Private,Management,135000,75,65,Merit,4.5,82%,Rs 6 LPA,"Deloitte, KPMG, EY, PwC, HDFC Bank, ICICI Bank","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
"Institute of Management Studies (IMS), DAVV",Indore,Madhya Pradesh,Government University,Management,60000,85,70,CUET,4.6,77%,Rs 7 LPA,"Deloitte, KPMG, EY, PwC, HDFC Bank, ICICI Bank","Wi-Fi Campus, Library, Cafeteria, AC Hostels, Olympic Sports Complex, Research Labs, Gym, Auditorium"
IPS Academy (Institute of Business Management),Indore,Madhya Pradesh,Private,Management,100000,70,120,Merit,4.2,87%,Rs 6 LPA,"Deloitte, KPMG, EY, PwC, HDFC Bank, ICICI Bank","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Govt. Arts and Commerce College (GACC),Indore,Madhya Pradesh,Government,Arts / Humanities,12000,60,180,Merit,4.1,61%,Rs 3 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Old Girls Degree College,Indore,Madhya Pradesh,Government,Arts / Humanities,10000,70,200,Merit,4.0,61%,Rs 3 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Sri Sathya Sai College for Women,Indore,Madhya Pradesh,Private,Arts / Humanities,35000,65,200,Merit,4.1,57%,Rs 2 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Kasturbagram Rural Institute,Indore,Madhya Pradesh,Government Aided,Arts / Humanities,15000,60,240,Merit,4.0,65%,Rs 3 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Vidyasagar College,Indore,Madhya Pradesh,Private,Arts / Humanities,35000,55,260,Merit,3.7,69%,Rs 3 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
"School of Social Sciences, DAVV",Indore,Madhya Pradesh,Government University,Arts / Humanities,25000,75,110,CUET,4.3,87%,Rs 4 LPA,"Schools, Local Businesses, Media","Wi-Fi Campus, Library, Cafeteria, AC Hostels, Olympic Sports Complex, Research Labs, Gym, Auditorium"
Indore Institute of Law,Indore,Madhya Pradesh,Private,Law,150000,75,45,CLAT,4.4,95%,Rs 10 LPA,"Cyril Amarchand Mangaldas, Khaitan & Co, Luthra & Luthra, Corporate Legal Teams","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
"School of Law, DAVV",Indore,Madhya Pradesh,Government University,Law,55000,80,60,CUET,4.5,84%,Rs 8 LPA,"Local Law Firms, LPOs, Corporate Legal","Wi-Fi Campus, Library, Cafeteria, AC Hostels, Olympic Sports Complex, Research Labs, Gym, Auditorium"
Govt. Law College,Indore,Madhya Pradesh,Government,Law,15000,80,120,CLAT,4.3,77%,Rs 7 LPA,"Local Law Firms, LPOs, Corporate Legal","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Prestige Institute of Law,Indore,Madhya Pradesh,Private,Law,110000,70,85,Merit,4.2,84%,Rs 5 LPA,"Local Law Firms, LPOs, Corporate Legal","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Shri Gujarati Samaj College of Pharmacy,Indore,Madhya Pradesh,Private,Pharmacy,90000,70,180,Merit,4.0,63%,Rs 2 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Smriti College of Pharmaceutical Education,Indore,Madhya Pradesh,Private,Pharmacy,85000,65,200,Merit,3.9,64%,Rs 2 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Indore Institute of Pharmacy,Indore,Madhya Pradesh,Private,Pharmacy,85000,60,210,Merit,4.0,60%,Rs 2 LPA,"Startups, Small Agencies, Schools","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
SGSITS (Pharmacy Department),Indore,Madhya Pradesh,Government Aided,Pharmacy,75000,85,75,Merit,4.5,84%,Rs 3 LPA,"Divi's Labs, Aurobindo Pharma, Retail Chains","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
"College of Agriculture, Indore",Indore,Madhya Pradesh,Government,Agriculture,20000,75,40,PAT,4.4,98%,Rs 12 LPA,"NGOs, Media Houses, EdTech (BYJU'S, Unacademy), Publishing Houses","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
IPS Academy School of Architecture,Indore,Madhya Pradesh,Private,Architecture,125000,70,35,NATA,4.3,99%,Rs 8 LPA,"NGOs, Media Houses, EdTech (BYJU'S, Unacademy), Publishing Houses","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
SGSITS (Architecture),Indore,Madhya Pradesh,Government Aided,Architecture,90000,80,45,NATA,4.4,94%,Rs 11 LPA,"NGOs, Media Houses, EdTech (BYJU'S, Unacademy), Publishing Houses","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Vidyapeeth College of Engineering,Indore,Madhya Pradesh,Private,Science (PCM),88000,57,262,JEE,3.9,64%,Rs 3 LPA,"Local IT Firms, TCS Ninja, Tech Mahindra, BPOs","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Vertex College of Engineering,Indore,Madhya Pradesh,Private,Science (PCM),62000,72,202,JEE,3.5,60%,Rs 4 LPA,"Local IT Firms, TCS Ninja, Tech Mahindra, BPOs","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Prestige Institute of Science & Technology,Indore,Madhya Pradesh,Private,Science (PCM),122000,61,171,JEE,4.0,71%,Rs 3 LPA,"Local IT Firms, TCS Ninja, Tech Mahindra, BPOs","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Modern Institute of Science & Technology,Indore,Madhya Pradesh,Government Aided,Science (PCM),90000,64,253,Merit,3.6,62%,Rs 3 LPA,"Local IT Firms, TCS Ninja, Tech Mahindra, BPOs","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Silver Oak Engineering College,Indore,Madhya Pradesh,Private,Science (PCM),103000,55,305,Merit,4.1,71%,Rs 3 LPA,"Local IT Firms, TCS Ninja, Tech Mahindra, BPOs","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Elite Institute of Science & Technology,Indore,Madhya Pradesh,Private,Science (PCM),120000,67,167,Merit,3.8,70%,Rs 3 LPA,"Local IT Firms, TCS Ninja, Tech Mahindra, BPOs","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Prime College of Engineering,Indore,Madhya Pradesh,Private,Science (PCM),85000,63,178,JEE,3.8,62%,Rs 4 LPA,"Local IT Firms, TCS Ninja, Tech Mahindra, BPOs","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Central India Engineering College,Indore,Madhya Pradesh,Private,Science (PCM),99000,78,298,JEE,3.5,60%,Rs 4 LPA,"Local IT Firms, TCS Ninja, Tech Mahindra, BPOs","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Maa Baweja Institute of Technology,Indore,Madhya Pradesh,Private,Science (PCM),102000,72,242,JEE,4.1,63%,Rs 4 LPA,"Local IT Firms, TCS Ninja, Tech Mahindra, BPOs","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Malwa Engineering College,Indore,Madhya Pradesh,Government Aided,Science (PCM),99000,71,376,JEE,3.8,52%,Rs 4 LPA,"Local IT Firms, TCS Ninja, Tech Mahindra, BPOs","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Sunrise Institute of Technology,Indore,Madhya Pradesh,Private,Science (PCM),77000,60,292,JEE,4.2,50%,Rs 3 LPA,"Local IT Firms, TCS Ninja, Tech Mahindra, BPOs","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Swami Vivekananda Engineering College,Indore,Madhya Pradesh,Private,Science (PCM),71000,74,235,JEE,3.6,59%,Rs 4 LPA,"Local IT Firms, TCS Ninja, Tech Mahindra, BPOs","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Ahilya College of Engineering,Indore,Madhya Pradesh,Government Aided,Science (PCM),117000,63,368,JEE,4.2,73%,Rs 4 LPA,"Local IT Firms, TCS Ninja, Tech Mahindra, BPOs","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Horizon Institute of Science & Technology,Indore,Madhya Pradesh,Private,Science (PCM),112000,72,400,JEE,3.9,69%,Rs 3 LPA,"Local IT Firms, TCS Ninja, Tech Mahindra, BPOs","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Vertex Institute of Technology,Indore,Madhya Pradesh,Private,Science (PCM),148000,73,201,JEE,4.1,51%,Rs 3 LPA,"Local IT Firms, TCS Ninja, Tech Mahindra, BPOs","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Shivajirao Engineering College,Indore,Madhya Pradesh,Private,Science (PCM),125000,66,319,JEE,3.6,69%,Rs 3 LPA,"Local IT Firms, TCS Ninja, Tech Mahindra, BPOs","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Shivajirao College of Engineering,Indore,Madhya Pradesh,Private,Science (PCM),145000,67,218,JEE,4.1,51%,Rs 4 LPA,"Local IT Firms, TCS Ninja, Tech Mahindra, BPOs","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Acme Institute of Technology,Indore,Madhya Pradesh,Government Aided,Science (PCM),92000,68,203,JEE,3.6,55%,Rs 4 LPA,"Local IT Firms, TCS Ninja, Tech Mahindra, BPOs","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Pragyan Institute of Science & Technology,Indore,Madhya Pradesh,Private,Science (PCM),69000,76,245,JEE,3.8,61%,Rs 4 LPA,"Local IT Firms, TCS Ninja, Tech Mahindra, BPOs","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Aryabhatta College of Engineering,Indore,Madhya Pradesh,Private,Science (PCM),70000,69,217,Merit,4.1,57%,Rs 4 LPA,"Local IT Firms, TCS Ninja, Tech Mahindra, BPOs","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Acme College of Engineering,Indore,Madhya Pradesh,Government Aided,Science (PCM),139000,80,348,Merit,3.5,62%,Rs 4 LPA,"Local IT Firms, TCS Ninja, Tech Mahindra, BPOs","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Prime Institute of Science & Technology,Indore,Madhya Pradesh,Private,Science (PCM),119000,76,238,JEE,3.8,50%,Rs 3 LPA,"Local IT Firms, TCS Ninja, Tech Mahindra, BPOs","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Global Institute of Science & Technology,Indore,Madhya Pradesh,Private,Science (PCM),65000,79,258,JEE,4.2,57%,Rs 3 LPA,"Local IT Firms, TCS Ninja, Tech Mahindra, BPOs","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Core Engineering College,Indore,Madhya Pradesh,Private,Science (PCM),94000,62,237,JEE,3.8,64%,Rs 4 LPA,"Local IT Firms, TCS Ninja, Tech Mahindra, BPOs","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Maharaja Engineering College,Indore,Madhya Pradesh,Private,Science (PCM),129000,74,346,JEE,3.7,59%,Rs 4 LPA,"Local IT Firms, TCS Ninja, Tech Mahindra, BPOs","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Pinnacle Institute of Science & Technology,Indore,Madhya Pradesh,Private,Science (PCM),150000,59,369,JEE,3.6,66%,Rs 3 LPA,"Local IT Firms, TCS Ninja, Tech Mahindra, BPOs","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Vidyapeeth Institute of Science & Technology,Indore,Madhya Pradesh,Private,Science (PCM),105000,56,189,JEE,4.0,68%,Rs 3 LPA,"Local IT Firms, TCS Ninja, Tech Mahindra, BPOs","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Aryabhatta Institute of Science & Technology,Indore,Madhya Pradesh,Private,Science (PCM),75000,67,237,Merit,3.6,53%,Rs 3 LPA,"Local IT Firms, TCS Ninja, Tech Mahindra, BPOs","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Malwa College of Engineering,Indore,Madhya Pradesh,Private,Science (PCM),147000,75,232,JEE,3.6,70%,Rs 3 LPA,"Local IT Firms, TCS Ninja, Tech Mahindra, BPOs","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Maa Baweja Engineering College,Indore,Madhya Pradesh,Private,Science (PCM),117000,58,214,Merit,3.7,50%,Rs 3 LPA,"Local IT Firms, TCS Ninja, Tech Mahindra, BPOs","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Sri Sai College of Engineering,Indore,Madhya Pradesh,Government Aided,Science (PCM),113000,57,158,Merit,3.6,51%,Rs 4 LPA,"Local IT Firms, TCS Ninja, Tech Mahindra, BPOs","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Rajiv Gandhi College of Engineering,Indore,Madhya Pradesh,Private,Science (PCM),62000,65,307,JEE,3.8,51%,Rs 3 LPA,"Local IT Firms, TCS Ninja, Tech Mahindra, BPOs","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Saraswati Engineering College,Indore,Madhya Pradesh,Private,Science (PCM),108000,70,308,Merit,3.8,53%,Rs 4 LPA,"Local IT Firms, TCS Ninja, Tech Mahindra, BPOs","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Central India Institute of Science & Technology,Indore,Madhya Pradesh,Private,Science (PCM),148000,60,315,JEE,3.7,57%,Rs 4 LPA,"Local IT Firms, TCS Ninja, Tech Mahindra, BPOs","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Future College of Engineering,Indore,Madhya Pradesh,Private,Science (PCM),96000,65,181,Merit,3.6,64%,Rs 4 LPA,"Local IT Firms, TCS Ninja, Tech Mahindra, BPOs","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Maharaja College of Engineering,Indore,Madhya Pradesh,Private,Science (PCM),138000,61,388,JEE,3.9,74%,Rs 3 LPA,"Local IT Firms, TCS Ninja, Tech Mahindra, BPOs","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Acme Paramedical Institute,Indore,Madhya Pradesh,Private,Science (PCB),84000,74,129,NEET,3.9,76%,Rs 5 LPA,"Apollo Hospitals, Fortis, AIIMS, Max Healthcare, Government Hospitals","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Eminent Nursing College,Indore,Madhya Pradesh,Government,Science (PCB),175000,74,268,Merit,3.7,56%,Rs 5 LPA,"Private Clinics, Nursing Homes","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Apex Paramedical Institute,Indore,Madhya Pradesh,Private,Science (PCB),176000,72,155,Merit,3.7,62%,Rs 5 LPA,"Private Clinics, Nursing Homes","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Pioneer Medical College,Indore,Madhya Pradesh,Government,Science (PCB),108000,60,169,NEET,3.8,57%,Rs 5 LPA,"Private Clinics, Nursing Homes","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Maharaja Institute of Medical Sciences,Indore,Madhya Pradesh,Government,Science (PCB),177000,81,277,Merit,4.2,63%,Rs 3 LPA,"Private Clinics, Nursing Homes","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Saraswati Paramedical Institute,Indore,Madhya Pradesh,Private,Science (PCB),80000,82,290,Merit,3.9,55%,Rs 4 LPA,"Private Clinics, Nursing Homes","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Royal Nursing College,Indore,Madhya Pradesh,Private,Science (PCB),73000,70,345,Merit,4.0,56%,Rs 5 LPA,"Private Clinics, Nursing Homes","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Silver Oak Paramedical Institute,Indore,Madhya Pradesh,Private,Science (PCB),178000,61,252,NEET,3.9,56%,Rs 3 LPA,"Private Clinics, Nursing Homes","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Vidyapeeth Medical College,Indore,Madhya Pradesh,Government,Science (PCB),154000,71,106,Merit,3.6,75%,Rs 5 LPA,"Apollo Hospitals, Fortis, AIIMS, Max Healthcare, Government Hospitals","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Acme Medical College,Indore,Madhya Pradesh,Private,Science (PCB),97000,61,314,NEET,3.7,65%,Rs 3 LPA,"Private Clinics, Nursing Homes","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Navin Medical College,Indore,Madhya Pradesh,Government,Science (PCB),87000,85,107,NEET,4.1,85%,Rs 6 LPA,"Apollo Hospitals, Fortis, AIIMS, Max Healthcare, Government Hospitals","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
